"X","RecordType","Country","Start_year","End_year","Area_type","AreaCode","SamplingSchemeType","SamplingScheme","SamplingProtocol","TargetPopulation","Participation","PrimarySamplingUnit","ExclusionFlag","ExclusionCriteria","SizesIncluded","MonitoringMethod","PartObserved","ImportanceBirds","ImportanceMammals","ImportancePETfish","ImportanceElasm","ImportanceRept","EndUser","Comments"
1,"D4","CY",2017,2018,"GFCM_GSAs","25","NatRouCF","CY-AtSea-OTB-DEF","All","CY-AtSea-OTB-DEF-GSA25","N","Vessel","N",NA,NA,"SO","SoPrDr",0,0,2,1,0,"GFCM~ICES WGBYC",NA
2,"D4","CY",2019,2019,"GFCM_GSAs","25","NatPilIB","CY-AtSea-OTB-DEF","All","CY-AtSea-OTB-DEF-GSA25","N","Vessel","N",NA,NA,"SO","SoPrDr",0,0,2,1,0,"GFCM~ICES WGBYC",NA
3,"D4","CY",2020,2025,"GFCM_GSAs","25","NatRouCF","CY-AtSea-OTB-DEF","All","CY-AtSea-OTB-DEF-GSA25","N","Vessel","N",NA,NA,"SO","SoPrDr",0,0,2,1,0,"GFCM~ICES WGBYC",NA
4,"D4","CY",2017,2025,"GFCM_GSAs","25","NatRouCF","CY-AtSea-LLDALB","All","CY-AtSea-LLDALB-GSA25","N","Vessel","Y","Small vessel size","VL1518~VL1824","SO","SoPrDrSl",0,0,0,1,1,"GFCM~ICES WGBYC~Other","Other EndUser: ICCAT"
5,"D4","CY",2017,2025,"GFCM_GSAs","25","NatRouCF","CY-AtSea-LLDSWO","All","CY-AtSea-LLDSWO-GSA25","N","Vessel","Y","Small vessel size","VL1518~VL1824","SO","SoPrDrSl",0,0,0,1,0,"GFCM~ICES WGBYC~Other","Other EndUser: ICCAT"
6,"D4","CY",2023,2024,"GFCM_GSAs","25","NatPilCF","CY-AtSea-PG-DEF","All","CY-AtSea-PG-DEF-GSA25","N","Vessel","Y","Small vessel size","VL0612~VL1218","SO","SoPrDrSl",0,0,2,2,1,"GFCM~ICES WGBYC",NA
7,"D4","CY",2017,2025,"GFCM_GSAs","25","NatRouCF","CY-OnShore-PG-DEF","All","CY-OnShore-PG-DEF-GSA25","N","LandingSitexDay","N",NA,NA,"PO","SoDr",0,0,2,2,1,"GFCM~ICES WGBYC",NA
8,"D4","GR",2018,2018,"GFCM_GSAs","22","NatPilCF","GR-SeaComTripallsp","All","OTB_DEF_>=40_0_0","Y","Trip","N",NA,NA,"SO","SoPrDr",0,0,1,2,0,"ICES WGBYC, GFCM, EU Commission, MSFD",NA
9,"D4","GR",2018,2018,"GFCM_GSAs","23","NatPilCF","GR-SeaComTripallsp","All","OTB_DEF_>=40_0_0","Y","Trip","N",NA,NA,"SO","SoPrDr",0,0,0,1,0,"ICES WGBYC, GFCM, EU Commission, MSFD",NA
10,"D4","GR",2018,2018,"GFCM_GSAs","20","NatPilCF","GR-SeaComTripallsp","All","OTB_DEF_>=40_0_0","Y","Trip","N",NA,NA,"SO","SoPrDr",0,0,1,1,1,"ICES WGBYC, GFCM, EU Commission, MSFD",NA
